,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55
Interim Chief Executive Officer,1,2,3,4,4,4,4,4,5,5,5,5,6,7,8,9,9,9,9,9,9,10,11,11,11,11,12,13,13,13,14,15,15,16,17,17,18,18,18,18,19,19,20,20,20,21,21,21,21,21,21,21,21,22,22,23
Chief Executive Officer,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,6,7,7,7,8,8,8,9,10,10,11,11,11,11,12,12,13,13,13,14,14,14,14,14,14,14,14,14,14,14
ceo and founder,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
Founder,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,8,8,8,9,9,9,9,10,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12
Co-Founder,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,6,6,7,7,7,8,9,9,10,10,10,10,11,11,12,12,12,13,13,13,13,13,13,13,13,13,13,13
CEO,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10
CEO | Founder,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,6,6,6,7,7,7,8,8,8,8,8,8,8,8,8,8,8
President,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,6,6,6,7,7,7,8,8,8,8,9,9,10,10,10,11,11,11,11,11,11,11,11,11,11,11
Managing Director ,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,6,6,6,6,7,8,8,8,9,9,9,10,11,11,12,12,12,12,13,13,14,14,14,15,15,15,15,15,15,15,15,15,15,15
COO | Co-founder ,1,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,5,5,5,6,6,6,7,7,7,7,7,7,8,8,8,9,9,9,9,9,9,9,9,9,9,9
Chief Administrative Officer,1,2,3,4,4,4,4,4,5,5,6,6,7,8,9,10,10,10,10,10,10,11,12,12,12,12,13,14,14,14,15,16,16,17,18,18,19,19,19,19,20,20,21,21,21,22,22,22,22,22,22,22,22,23,23,24
Global Controller,1,2,3,4,5,6,6,6,7,7,8,8,9,10,11,12,12,12,12,12,12,13,14,14,15,15,16,17,17,17,18,19,19,20,21,21,22,22,22,22,23,24,25,26,26,27,27,27,27,27,28,29,29,30,30,31
Controller,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,18,19,19,20,21,22,23,24,25,26,27,27,28,29,29,30,31,32,33,34,34,34,35,36,37,38,38,39,40,41,41,41,42,43,44,45,45,46
"Head of Consolidation, Reporting & Finance Transformation",1,2,3,4,5,6,7,7,8,8,9,10,11,12,13,14,15,16,16,16,16,17,18,18,19,20,21,22,23,23,24,25,25,26,27,28,29,30,30,30,31,32,33,34,34,35,36,36,36,36,37,38,39,40,40,41
